# 时间戳(ms),抖动(ms)
124400,20.25
124500,20.25
124600,20.25
124700,20.25
124800,20.25
124900,20.25
125000,20.25
125100,20.25
125200,20.25
125300,20.25
125400,20.25
125500,20.25
125600,20.25
125700,20.25
125800,20.25
125900,20.25
126000,20.25
126100,20.25
126200,20.25
126300,20.25
126400,20.25
126500,20.25
126600,20.25
126700,20.25
126800,20.25
126900,20.25
127000,20.25
127100,20.25
127200,20.25
127300,20.25
127400,20.25
127500,20.25
127600,20.25
127700,20.25
127800,20.25
127900,20.25
128000,20.25
128100,20.25
128200,20.25
128300,20.25
128400,20.25
128500,20.25
128600,20.25
128700,20.25
128800,20.25
128900,20.25
129000,20.25
129100,20.25
129200,20.25
129300,20.25
129400,20.25
129500,20.25
129600,20.25
129700,20.25
129800,20.25
129900,20.25
130000,20.25
130100,20.25
130200,20.25
130300,20.25
130400,20.25
130500,20.25
130600,20.25
130700,20.25
130800,20.25
130900,20.25
131000,20.25
131100,20.25
131200,20.25
131300,20.25
131400,20.25
131500,20.25
131600,20.25
131700,20.25
131800,20.25
131900,20.25
132000,20.25
132100,20.25
132200,20.25
132300,20.25
132400,20.25
132500,20.25
132600,20.25
132700,20.25
132800,20.25
132900,20.25
133000,20.25
133100,20.25
133200,20.25
133300,20.25
133400,20.25
133500,20.25
133600,20.25
133700,20.25
133800,20.25
133900,20.25
134000,20.25
134100,20.25
134200,20.25
134300,20.25
134400,20.25
134500,20.25
134600,20.25
134700,20.25
134800,20.25
134900,20.25
135000,20.25
135100,20.25
135200,20.25
135300,20.25
135400,20.25
135500,20.25
135600,20.25
135700,20.25
135800,20.25
135900,20.25
136000,20.25
136100,20.25
136200,20.25
136300,20.25
136400,20.25
136500,20.25
136600,20.25
136700,20.25
136800,20.25
136900,20.25
137000,20.25
137100,20.25
137200,20.25
137300,20.25
137400,20.25
137500,20.25
137600,20.25
137700,20.25
137800,20.25
137900,20.25
138000,20.25
138100,20.25
138200,20.25
138300,20.25
138400,20.25
138500,20.25
138600,20.25
138700,20.25
138800,20.25
138900,20.25
139000,20.25
139100,20.25
139200,20.25
139300,20.25
139400,20.25
139500,20.25
139600,20.25
139700,20.25
139800,20.25
139900,20.25
140000,20.25
140100,20.25
140200,20.25
140300,20.25
140400,20.25
140500,20.25
140600,20.25
140700,20.25
140800,20.25
140900,20.25
141000,20.25
141100,20.25
141200,20.25
141300,20.25
141400,20.25
141500,20.25
141600,20.25
141700,20.25
141800,20.25
141900,20.25
142000,20.25
142100,20.25
142200,20.25
142300,20.25
142400,5.48
142500,5.48
142600,5.48
142700,5.48
142800,5.48
142900,5.48
143000,5.48
143100,5.48
143200,5.48
143300,5.48
143400,5.48
143500,5.48
143600,5.48
143700,5.48
143800,5.48
143900,5.48
144000,5.48
144100,5.48
144200,5.48
144300,5.48
144400,5.48
144500,5.48
144600,5.48
144700,5.48
144800,5.48
144900,5.48
145000,5.48
145100,5.48
145200,5.48
145300,5.48
145400,5.48
145500,5.48
145600,5.48
145700,5.48
145800,5.48
145900,5.48
146000,5.48
146100,5.48
146200,5.48
146300,5.48
146400,5.48
146500,5.48
146600,5.48
146700,5.48
146800,5.48
146900,5.48
147000,5.48
147100,5.48
147200,5.48
147300,5.48
147400,5.48
147500,5.48
147600,5.48
147700,5.48
147800,5.48
147900,5.48
148000,5.48
148100,5.48
148200,5.48
148300,5.48
148400,5.48
148500,5.48
148600,5.48
148700,5.48
148800,5.48
148900,5.48
149000,5.48
149100,5.48
149200,5.48
149300,5.48
149400,5.48
149500,5.48
149600,5.48
149700,5.48
149800,5.48
149900,5.48
150000,5.48
150100,5.48
150200,5.48
150300,5.48
150400,5.48
150500,5.48
150600,5.48
150700,5.48
150800,5.48
150900,5.48
151000,5.48
151100,5.48
151200,5.48
151300,5.48
151400,5.48
151500,5.48
151600,5.48
151700,5.48
151800,5.48
151900,5.48
152000,5.48
152100,5.48
152200,5.48
152300,5.48
152400,5.48
152500,5.48
152600,5.48
152700,5.48
152800,5.48
152900,5.48
153000,5.48
153100,5.48
153200,5.48
153300,5.48
153400,5.48
153500,5.48
153600,5.48
153700,5.48
153800,5.48
153900,5.48
154000,5.48
154100,5.48
154200,5.48
154300,5.48
154400,5.48
154500,5.48
154600,5.48
154700,5.48
154800,5.48
154900,5.48
155000,5.48
155100,5.48
155200,5.48
155300,5.48
155400,5.48
155500,5.48
155600,5.48
155700,5.48
155800,5.48
155900,5.48
156000,5.48
156100,5.48
156200,5.48
156300,5.48
156400,5.48
156500,5.48
156600,5.48
156700,5.48
156800,5.48
156900,5.48
157000,5.48
157100,5.48
157200,5.48
157300,5.48
157400,5.48
157500,5.48
157600,5.48
157700,5.48
157800,5.48
157900,5.48
158000,5.48
158100,5.48
158200,5.48
158300,5.48
158400,5.48
158500,5.48
158600,5.48
158700,5.48
158800,5.48
158900,5.48
159000,5.48
159100,5.48
159200,5.48
159300,5.48
159400,5.48
159500,5.48
159600,5.48
159700,5.48
159800,5.48
159900,5.48
160000,5.48
160100,5.48
