# 时间戳(ms),RTT(ms)
85100,24.93
85200,24.93
85300,24.93
85400,24.93
85500,24.93
85600,24.93
85700,24.93
85800,24.93
85900,24.93
86000,24.93
86100,24.93
86200,24.93
86300,24.93
86400,24.93
86500,24.93
86600,24.93
86700,24.93
86800,24.93
86900,24.93
87000,24.93
87100,24.93
87200,24.93
87300,24.93
87400,24.93
87500,24.93
87600,24.93
87700,24.93
87800,24.93
87900,24.93
88000,24.93
88100,24.93
88200,24.93
88300,24.93
88400,24.93
88500,24.93
88600,24.93
88700,24.93
88800,24.93
88900,24.93
89000,24.93
89100,24.93
89200,24.93
89300,24.93
89400,24.93
89500,24.93
89600,24.93
89700,24.93
89800,24.93
89900,24.93
90000,24.93
90100,24.93
90200,24.93
90300,24.93
90400,24.93
90500,24.93
90600,24.93
90700,24.93
90800,24.93
90900,24.93
91000,24.93
91100,24.93
91200,24.93
91300,24.93
91400,24.93
91500,24.93
91600,24.93
91700,24.93
91800,24.93
91900,24.93
92000,24.93
92100,24.93
92200,24.93
92300,24.93
92400,24.93
92500,24.93
92600,24.93
92700,24.93
92800,24.93
92900,24.93
93000,24.93
93100,24.93
93200,24.93
93300,24.93
93400,24.93
93500,24.93
93600,24.93
93700,24.93
93800,24.93
93900,24.93
94000,24.93
94100,24.93
94200,24.93
94300,24.93
94400,24.93
94500,24.93
94600,24.93
94700,24.93
94800,24.93
94900,24.93
95000,24.93
95100,24.93
95200,24.93
95300,24.93
95400,24.93
95500,24.93
95600,24.93
95700,24.93
95800,24.93
95900,24.93
96000,24.93
96100,24.93
96200,24.93
96300,24.93
96400,24.93
96500,24.93
96600,24.93
96700,24.93
96800,24.93
96900,24.93
97000,24.93
97100,24.93
97200,24.93
97300,24.93
97400,24.93
97500,24.93
97600,24.93
97700,24.93
97800,24.93
97900,24.93
98000,24.93
98100,24.93
98200,24.93
98300,24.93
98400,24.93
98500,24.93
98600,24.93
98700,24.93
98800,24.93
98900,24.93
99000,24.93
99100,24.93
99200,16.18
99300,16.18
99400,16.18
99500,16.18
99600,16.18
99700,16.18
99800,16.18
99900,16.18
100000,16.18
100100,16.18
100200,16.18
100300,16.18
100400,16.18
100500,16.18
100600,16.18
100700,16.18
100800,16.18
100900,16.18
101000,16.18
101100,16.18
101200,16.18
101300,16.18
101400,16.18
101500,16.18
