# 时间戳(ms),RTT(ms)
65000,117.61
65100,117.61
65200,117.61
65300,117.61
65400,117.61
65500,117.61
65600,117.61
65700,117.61
65800,117.61
65900,117.61
66000,117.61
66100,117.61
66200,117.61
66300,117.61
66400,117.61
66500,117.61
66600,117.61
66700,117.61
66800,117.61
66900,117.61
67000,117.61
67100,117.61
67200,117.61
67300,117.61
67400,117.61
67500,117.61
67600,117.61
67700,117.61
67800,117.61
67900,117.61
68000,117.61
68100,117.61
68200,117.61
68300,117.61
68400,117.61
68500,117.61
68600,117.61
68700,117.61
68800,117.61
68900,117.61
69000,117.61
69100,117.61
69200,117.61
69300,117.61
69400,117.61
69500,117.61
69600,117.61
69700,117.61
69800,117.61
69900,117.61
70000,117.61
70100,117.61
70200,117.61
70300,117.61
70400,117.61
70500,117.61
70600,117.61
70700,117.61
70800,117.61
70900,117.61
71000,117.61
71100,117.61
71200,117.61
71300,117.61
71400,117.61
71500,117.61
71600,117.61
71700,117.61
71800,117.61
71900,117.61
72000,117.61
72100,117.61
72200,117.61
72300,117.61
72400,117.61
72500,117.61
72600,117.61
72700,117.61
72800,117.61
72900,117.61
73000,117.61
73100,117.61
73200,117.61
73300,117.61
73400,117.61
73500,117.61
73600,117.61
73700,117.61
73800,117.61
73900,117.61
74000,117.61
74100,117.61
74200,117.61
74300,117.61
74400,117.61
74500,117.61
74600,117.61
74700,117.61
74800,117.61
74900,117.61
75000,117.61
75100,117.61
75200,117.61
75300,117.61
75400,117.61
75500,117.61
75600,117.61
75700,117.61
75800,117.61
75900,117.61
76000,117.61
76100,117.61
76200,117.61
76300,117.61
76400,117.61
76500,117.61
76600,117.61
76700,117.61
76800,117.61
76900,117.61
77000,117.61
77100,117.61
77200,117.61
77300,117.61
77400,117.61
77500,117.61
77600,117.61
77700,117.61
77800,117.61
77900,117.61
78000,117.61
78100,117.61
78200,117.61
78300,117.61
78400,117.61
78500,117.61
78600,117.61
78700,117.61
78800,117.61
78900,117.61
79000,117.61
79100,117.61
79200,117.61
79300,117.61
79400,117.61
79500,117.61
79600,117.61
79700,117.61
79800,117.61
79900,117.61
80000,117.61
80100,117.61
80200,117.61
80300,117.61
80400,117.61
80500,117.61
80600,117.61
80700,117.61
80800,117.61
80900,117.61
81000,117.61
81100,117.61
81200,117.61
81300,117.61
81400,117.61
81500,117.61
81600,117.61
81700,117.61
81800,117.61
81900,117.61
82000,117.61
82100,117.61
82200,117.61
82300,117.61
82400,117.61
82500,117.61
82600,117.61
82700,117.61
82800,117.61
82900,117.61
83000,117.61
83100,117.61
83200,117.61
83300,117.61
83400,117.61
83500,117.61
83600,117.61
83700,117.61
83800,117.61
83900,117.61
84000,117.61
84100,117.61
84200,117.61
84300,117.61
84400,117.61
84500,117.61
84600,117.61
84700,117.61
84800,117.61
84900,117.61
85000,117.61
85100,117.61
85200,117.61
85300,117.61
85400,117.61
85500,117.61
85600,117.61
85700,117.61
85800,117.61
85900,117.61
86000,117.61
86100,117.61
86200,117.61
86300,117.61
86400,117.61
86500,117.61
86600,117.61
86700,117.61
86800,117.61
86900,117.61
87000,117.61
87100,117.61
87200,117.61
87300,117.61
87400,117.61
87500,117.61
87600,117.61
87700,117.61
87800,117.61
87900,117.61
88000,117.61
88100,117.61
88200,117.61
88300,117.61
88400,117.61
88500,117.61
88600,117.61
88700,117.61
88800,117.61
88900,117.61
89000,117.61
89100,117.61
89200,117.61
89300,117.61
89400,117.61
89500,117.61
89600,117.61
89700,117.61
89800,117.61
89900,117.61
90000,117.61
90100,117.61
90200,117.61
90300,117.61
90400,117.61
90500,117.61
90600,117.61
90700,117.61
90800,117.61
90900,117.61
91000,117.61
91100,117.61
91200,117.61
91300,117.61
91400,117.61
91500,117.61
91600,117.61
91700,117.61
91800,117.61
91900,117.61
92000,117.61
92100,117.61
92200,117.61
92300,117.61
92400,117.61
92500,117.61
92600,117.61
92700,117.61
92800,117.61
92900,117.61
93000,117.61
93100,117.61
93200,117.61
93300,117.61
93400,117.61
93500,117.61
93600,117.61
93700,117.61
93800,117.61
93900,117.61
94000,117.61
94100,117.61
94200,117.61
94300,117.61
94400,117.61
94500,117.61
94600,117.61
94700,117.61
94800,117.61
94900,117.61
95000,117.61
95100,117.61
95200,117.61
95300,117.61
95400,117.61
95500,117.61
95600,117.61
95700,117.61
95800,117.61
95900,117.61
96000,117.61
96100,117.61
96200,117.61
96300,117.61
96400,117.61
96500,117.61
96600,117.61
96700,117.61
96800,117.61
96900,117.61
97000,117.61
97100,117.61
97200,117.61
97300,117.61
97400,117.61
97500,117.61
97600,117.61
97700,117.61
97800,117.61
97900,117.61
98000,117.61
98100,117.61
98200,117.61
98300,117.61
98400,117.61
98500,117.61
98600,117.61
98700,117.61
98800,117.61
98900,117.61
99000,117.61
99100,117.61
99200,119.05
99300,119.05
99400,119.05
99500,119.05
99600,119.05
99700,119.05
99800,119.05
99900,119.05
100000,119.05
100100,119.05
100200,119.05
100300,119.05
100400,119.05
100500,119.05
100600,119.05
100700,119.05
100800,119.05
100900,119.05
101000,119.05
101100,119.05
101200,119.05
101300,119.05
101400,119.05
101500,119.05
101600,119.05
101700,119.05
101800,119.05
101900,119.05
102000,119.05
102100,119.05
102200,119.05
102300,119.05
102400,119.05
102500,119.05
102600,119.05
102700,119.05
102800,119.05
102900,119.05
103000,119.05
103100,119.05
103200,119.05
103300,119.05
103400,119.05
103500,119.05
103600,119.05
103700,119.05
103800,119.05
103900,119.05
104000,119.05
104100,119.05
104200,119.05
104300,119.05
104400,119.05
104500,119.05
104600,119.05
104700,119.05
104800,119.05
104900,119.05
105000,119.05
105100,119.05
105200,119.05
105300,119.05
105400,119.05
105500,119.05
105600,119.05
105700,119.05
105800,119.05
105900,119.05
106000,119.05
106100,119.05
106200,119.05
106300,119.05
106400,119.05
106500,119.05
106600,119.05
106700,119.05
106800,119.05
106900,119.05
107000,119.05
107100,119.05
107200,119.05
107300,119.05
107400,119.05
107500,119.05
107600,119.05
107700,119.05
107800,119.05
107900,119.05
108000,119.05
108100,119.05
108200,119.05
108300,119.05
108400,119.05
108500,119.05
108600,119.05
108700,119.05
108800,119.05
108900,119.05
109000,119.05
109100,119.05
109200,119.05
109300,119.05
109400,119.05
109500,119.05
109600,119.05
109700,119.05
109800,119.05
109900,119.05
110000,119.05
110100,119.05
110200,119.05
110300,119.05
110400,119.05
110500,119.05
110600,119.05
110700,119.05
110800,119.05
110900,119.05
111000,119.05
111100,119.05
111200,119.05
111300,119.05
111400,119.05
111500,119.05
111600,119.05
111700,119.05
111800,119.05
111900,119.05
112000,119.05
112100,119.05
112200,119.05
112300,119.05
112400,119.05
112500,119.05
112600,119.05
112700,119.05
112800,119.05
112900,119.05
113000,119.05
113100,119.05
113200,119.05
113300,119.05
113400,119.05
113500,119.05
113600,119.05
113700,119.05
113800,119.05
113900,119.05
114000,119.05
114100,119.05
114200,119.05
114300,119.05
114400,119.05
114500,119.05
114600,119.05
114700,119.05
114800,119.05
114900,119.05
115000,119.05
115100,119.05
115200,119.05
115300,119.05
115400,119.05
115500,119.05
115600,119.05
115700,119.05
115800,119.05
115900,119.05
116000,119.05
116100,119.05
116200,119.05
116300,119.05
116400,119.05
116500,119.05
116600,119.05
116700,119.05
116800,119.05
116900,119.05
117000,119.05
117100,119.05
117200,119.05
117300,119.05
117400,119.05
117500,119.05
117600,119.05
117700,119.05
117800,119.05
117900,119.05
118000,119.05
118100,119.05
118200,119.05
118300,119.05
118400,119.05
118500,119.05
118600,119.05
118700,119.05
118800,119.05
118900,119.05
119000,119.05
119100,119.05
119200,119.05
119300,119.05
119400,119.05
119500,119.05
119600,119.05
119700,119.05
119800,119.05
119900,119.05
120000,119.05
120100,119.05
120200,119.05
120300,119.05
120400,119.05
120500,119.05
120600,119.05
120700,119.05
120800,119.05
120900,119.05
121000,119.05
121100,119.05
121200,119.05
121300,119.05
121400,119.05
121500,119.05
121600,119.05
121700,119.05
121800,119.05
121900,119.05
122000,119.05
122100,119.05
122200,119.05
122300,119.05
122400,119.05
122500,119.05
122600,119.05
122700,119.05
122800,119.05
122900,119.05
123000,119.05
123100,119.05
123200,119.05
123300,119.05
123400,119.05
123500,119.05
123600,119.05
123700,119.05
123800,119.05
123900,119.05
124000,119.05
124100,119.05
124200,119.05
124300,119.05
124400,119.05
124500,119.05
124600,119.05
124700,119.05
124800,119.05
124900,119.05
125000,119.05
125100,119.05
125200,119.05
125300,119.05
125400,119.05
125500,119.05
125600,119.05
125700,119.05
125800,119.05
125900,119.05
126000,119.05
126100,119.05
126200,119.05
126300,119.05
126400,119.05
126500,119.05
126600,119.05
126700,119.05
126800,119.05
126900,119.05
127000,119.05
127100,119.05
127200,119.05
127300,119.05
127400,119.05
127500,119.05
127600,119.05
127700,119.05
127800,119.05
127900,119.05
128000,119.05
128100,119.05
128200,119.05
128300,119.05
128400,119.05
128500,119.05
128600,119.05
128700,119.05
128800,119.05
128900,119.05
129000,119.05
129100,119.05
129200,119.05
129300,119.05
129400,119.05
129500,119.05
129600,119.05
129700,119.05
129800,119.05
129900,119.05
130000,119.05
130100,119.05
130200,119.05
130300,119.05
130400,119.05
130500,119.05
130600,119.05
130700,119.05
130800,119.05
130900,119.05
131000,119.05
131100,119.05
131200,119.05
131300,119.05
131400,119.05
131500,119.05
131600,119.05
131700,119.05
131800,119.05
131900,119.05
132000,119.05
132100,119.05
132200,119.05
132300,119.05
132400,119.05
132500,119.05
132600,119.05
132700,119.05
132800,119.05
132900,119.05
133000,119.05
133100,119.05
133200,119.05
133300,119.05
133400,119.05
133500,119.05
133600,119.05
133700,119.05
133800,119.05
133900,119.05
134000,119.05
134100,119.05
134200,119.05
134300,119.05
134400,119.05
134500,119.05
134600,119.05
134700,119.05
134800,119.05
134900,119.05
135000,119.05
135100,119.05
135200,119.05
135300,119.05
135400,119.05
135500,119.05
135600,119.05
135700,119.05
135800,119.05
135900,119.05
136000,119.05
136100,119.05
136200,119.05
136300,119.05
136400,119.05
136500,119.05
136600,119.05
136700,119.05
136800,119.05
136900,119.05
137000,119.05
137100,119.05
137200,119.05
137300,119.05
137400,119.05
137500,119.05
137600,119.05
137700,119.05
137800,119.05
137900,119.05
138000,119.05
138100,119.05
138200,119.05
138300,119.05
138400,119.05
138500,119.05
138600,119.05
138700,119.05
138800,119.05
138900,119.05
139000,119.05
139100,119.05
139200,119.05
139300,119.05
139400,119.05
139500,119.05
139600,119.05
139700,119.05
139800,119.05
139900,119.05
140000,119.05
140100,119.05
140200,119.05
140300,119.05
140400,119.05
140500,119.05
140600,119.05
140700,119.05
140800,119.05
140900,119.05
141000,119.05
141100,119.05
141200,119.05
141300,119.05
141400,119.05
141500,119.05
141600,119.05
141700,119.05
141800,119.05
141900,119.05
142000,119.05
142100,119.05
142200,119.05
142300,119.05
142400,105.32
142500,105.32
142600,105.32
142700,105.32
142800,105.32
142900,105.32
143000,105.32
143100,105.32
143200,105.32
143300,105.32
143400,105.32
143500,105.32
143600,105.32
143700,105.32
143800,105.32
143900,105.32
144000,105.32
144100,105.32
144200,105.32
144300,105.32
144400,105.32
144500,105.32
144600,105.32
144700,105.32
144800,105.32
144900,105.32
145000,105.32
145100,105.32
145200,105.32
145300,105.32
145400,105.32
145500,105.32
145600,105.32
145700,105.32
145800,105.32
145900,105.32
146000,105.32
146100,105.32
146200,105.32
146300,105.32
146400,105.32
146500,105.32
146600,105.32
146700,105.32
146800,105.32
146900,105.32
147000,105.32
147100,105.32
147200,105.32
147300,105.32
147400,105.32
147500,105.32
147600,105.32
147700,105.32
147800,105.32
147900,105.32
148000,105.32
148100,105.32
148200,105.32
148300,105.32
148400,105.32
148500,105.32
148600,105.32
148700,105.32
148800,105.32
148900,105.32
149000,105.32
149100,105.32
149200,105.32
149300,105.32
149400,105.32
149500,105.32
149600,105.32
149700,105.32
149800,105.32
149900,105.32
150000,105.32
150100,105.32
150200,105.32
150300,105.32
150400,105.32
150500,105.32
150600,105.32
150700,105.32
150800,105.32
150900,105.32
151000,105.32
151100,105.32
151200,105.32
151300,105.32
151400,105.32
151500,105.32
151600,105.32
151700,105.32
151800,105.32
151900,105.32
152000,105.32
152100,105.32
152200,105.32
152300,105.32
152400,105.32
152500,105.32
152600,105.32
152700,105.32
152800,105.32
152900,105.32
153000,105.32
153100,105.32
153200,105.32
153300,105.32
153400,105.32
153500,105.32
153600,105.32
153700,105.32
153800,105.32
153900,105.32
154000,105.32
154100,105.32
154200,105.32
154300,105.32
154400,105.32
154500,105.32
154600,105.32
154700,105.32
154800,105.32
154900,105.32
155000,105.32
155100,105.32
155200,105.32
155300,105.32
155400,105.32
155500,105.32
155600,105.32
155700,105.32
155800,105.32
155900,105.32
156000,105.32
156100,105.32
156200,105.32
156300,105.32
156400,105.32
156500,105.32
156600,105.32
156700,105.32
156800,105.32
156900,105.32
157000,105.32
157100,105.32
157200,105.32
157300,105.32
157400,105.32
157500,105.32
157600,105.32
157700,105.32
157800,105.32
157900,105.32
158000,105.32
158100,105.32
158200,105.32
158300,105.32
158400,105.32
158500,105.32
158600,105.32
158700,105.32
158800,105.32
158900,105.32
159000,105.32
159100,105.32
159200,105.32
159300,105.32
159400,105.32
159500,105.32
159600,105.32
159700,105.32
159800,105.32
159900,105.32
160000,105.32
160100,105.32
160200,105.32
160300,105.32
160400,105.32
160500,105.32
160600,105.32
160700,105.32
160800,105.32
160900,105.32
161000,105.32
161100,105.32
161200,105.32
161300,105.32
161400,105.32
161500,105.32
161600,105.32
161700,105.32
161800,105.32
161900,105.32
162000,105.32
162100,105.32
162200,105.32
162300,105.32
162400,105.32
162500,105.32
162600,105.32
162700,105.32
162800,105.32
162900,105.32
163000,105.32
163100,105.32
163200,105.32
163300,105.32
163400,105.32
163500,105.32
163600,105.32
163700,105.32
163800,105.32
163900,105.32
164000,105.32
164100,105.32
164200,105.32
164300,105.32
164400,105.32
164500,105.32
164600,105.32
164700,105.32
164800,105.32
164900,105.32
165000,105.32
165100,105.32
165200,105.32
165300,105.32
165400,105.32
165500,105.32
165600,105.32
165700,105.32
165800,105.32
165900,105.32
166000,105.32
166100,105.32
166200,105.32
166300,105.32
166400,105.32
166500,105.32
166600,105.32
166700,105.32
166800,105.32
166900,105.32
167000,105.32
167100,105.32
167200,105.32
167300,105.32
167400,105.32
167500,105.32
167600,105.32
167700,105.32
167800,105.32
167900,105.32
168000,105.32
168100,105.32
168200,105.32
168300,105.32
168400,105.32
168500,105.32
168600,105.32
168700,105.32
168800,105.32
168900,105.32
169000,105.32
169100,105.32
169200,105.32
169300,105.32
169400,105.32
169500,105.32
169600,105.32
169700,105.32
169800,105.32
169900,105.32
170000,105.32
170100,105.32
170200,105.32
170300,105.32
170400,105.32
170500,105.32
170600,105.32
170700,105.32
170800,105.32
170900,105.32
171000,105.32
171100,105.32
171200,105.32
171300,105.32
171400,105.32
171500,105.32
171600,105.32
171700,105.32
171800,105.32
171900,105.32
172000,105.32
172100,105.32
172200,105.32
172300,105.32
172400,105.32
172500,105.32
172600,105.32
172700,105.32
172800,105.32
172900,105.32
173000,105.32
173100,105.32
173200,105.32
173300,105.32
173400,105.32
173500,105.32
173600,105.32
173700,105.32
173800,105.32
173900,105.32
174000,105.32
174100,105.32
174200,105.32
174300,105.32
174400,105.32
174500,105.32
174600,105.32
174700,105.32
174800,105.32
174900,105.32
175000,105.32
175100,105.32
175200,105.32
175300,105.32
175400,105.32
175500,105.32
175600,105.32
175700,105.32
175800,105.32
175900,105.32
176000,105.32
176100,105.32
176200,105.32
176300,105.32
176400,105.32
176500,105.32
176600,105.32
176700,105.32
176800,105.32
176900,105.32
177000,105.32
177100,105.32
177200,105.32
177300,105.32
177400,105.32
177500,105.32
177600,105.32
177700,105.32
177800,105.32
177900,105.32
178000,105.32
178100,105.32
178200,105.32
178300,105.32
178400,105.32
178500,105.32
178600,105.32
178700,105.32
178800,105.32
178900,105.32
179000,105.32
179100,105.32
179200,105.32
179300,105.32
179400,105.32
179500,105.32
179600,105.32
179700,105.32
179800,105.32
179900,105.32
180000,105.32
180100,105.32
180200,105.32
180300,105.32
180400,105.32
180500,105.32
180600,105.32
180700,105.32
180800,105.32
180900,105.32
181000,105.32
181100,105.32
181200,105.32
181300,105.32
181400,105.32
181500,105.32
181600,105.32
181700,105.32
181800,105.32
181900,105.32
182000,105.32
182100,105.32
182200,105.32
182300,105.32
182400,105.32
182500,105.32
182600,105.32
182700,105.32
182800,105.32
182900,105.32
183000,105.32
183100,105.32
183200,105.32
183300,105.32
183400,105.32
183500,105.32
183600,105.32
183700,105.32
183800,105.32
183900,105.32
184000,105.32
184100,105.32
184200,105.32
184300,105.32
184400,105.32
184500,105.32
184600,105.32
184700,105.32
184800,105.32
184900,105.32
185000,105.32
185100,105.32
185200,105.32
185300,105.32
185400,105.32
185500,105.32
185600,105.32
185700,105.32
185800,105.32
185900,105.32
186000,105.32
186100,105.32
186200,105.32
186300,105.32
186400,105.32
186500,105.32
186600,105.32
186700,105.32
186800,105.32
186900,105.32
187000,105.32
187100,105.32
187200,105.32
187300,105.32
187400,105.32
187500,105.32
187600,105.32
187700,105.32
187800,105.32
187900,105.32
188000,105.32
188100,105.32
188200,105.32
188300,105.32
188400,105.32
188500,105.32
188600,105.32
188700,105.32
188800,105.32
188900,105.32
189000,105.32
189100,105.32
189200,105.32
189300,105.32
189400,105.32
189500,105.32
189600,105.32
189700,105.32
189800,105.32
189900,105.32
190000,105.32
190100,105.32
190200,105.32
190300,105.32
190400,105.32
190500,105.32
190600,105.32
190700,105.32
190800,105.32
190900,105.32
191000,105.32
191100,105.32
191200,105.32
191300,105.32
191400,105.32
191500,105.32
191600,105.32
191700,105.32
191800,105.32
191900,105.32
192000,105.32
192100,105.32
192200,105.32
192300,105.32
192400,105.32
192500,105.32
192600,105.32
192700,105.32
192800,105.32
192900,105.32
193000,105.32
193100,105.32
193200,105.32
193300,105.32
193400,105.32
193500,105.32
193600,105.32
193700,105.32
193800,105.32
193900,105.32
194000,105.32
194100,105.32
194200,105.32
194300,105.32
194400,105.32
194500,105.32
194600,105.32
194700,105.32
194800,105.32
194900,105.32
195000,105.32
195100,105.32
195200,105.32
195300,105.32
195400,105.32
195500,105.32
195600,105.32
195700,105.32
195800,105.32
195900,105.32
196000,105.32
196100,105.32
196200,105.32
196300,105.32
196400,105.32
196500,105.32
196600,105.32
196700,105.32
196800,105.32
196900,105.32
197000,105.32
197100,105.32
197200,105.32
197300,105.32
197400,105.32
197500,105.32
197600,105.32
197700,105.32
197800,105.32
197900,105.32
198000,105.32
198100,105.32
198200,105.32
198300,105.32
198400,79.74
198500,79.74
198600,79.74
198700,79.74
198800,79.74
198900,79.74
199000,79.74
199100,79.74
199200,79.74
