# 时间戳(ms),抖动(ms)
99400,275.38
99500,275.38
99600,275.38
99700,275.38
99800,275.38
99900,275.38
100000,275.38
100100,275.38
100200,275.38
100300,275.38
100400,275.38
100500,275.38
100600,275.38
100700,275.38
100800,275.38
100900,275.38
101000,275.38
101100,275.38
101200,275.38
101300,275.38
101400,275.38
101500,275.38
101600,275.38
101700,275.38
101800,275.38
101900,275.38
102000,275.38
102100,275.38
102200,275.38
102300,275.38
102400,275.38
102500,275.38
102600,275.38
102700,275.38
102800,275.38
102900,275.38
103000,275.38
103100,275.38
103200,275.38
103300,275.38
103400,275.38
103500,275.38
103600,275.38
103700,275.38
103800,275.38
103900,275.38
104000,275.38
104100,275.38
104200,275.38
104300,275.38
104400,275.38
104500,275.38
104600,275.38
104700,275.38
104800,275.38
104900,275.38
105000,275.38
105100,275.38
105200,275.38
105300,275.38
105400,275.38
105500,275.38
105600,275.38
105700,275.38
105800,275.38
105900,275.38
106000,275.38
106100,275.38
106200,275.38
106300,275.38
106400,275.38
106500,275.38
106600,275.38
106700,275.38
106800,275.38
106900,275.38
107000,275.38
107100,275.38
107200,275.38
107300,275.38
107400,275.38
107500,275.38
107600,275.38
107700,275.38
107800,275.38
107900,275.38
108000,275.38
108100,275.38
108200,275.38
108300,275.38
108400,275.38
108500,275.38
108600,275.38
108700,275.38
108800,275.38
108900,275.38
109000,275.38
109100,275.38
109200,275.38
109300,275.38
109400,275.38
109500,275.38
109600,275.38
109700,275.38
109800,275.38
109900,275.38
110000,275.38
110100,275.38
110200,275.38
110300,275.38
110400,275.38
110500,275.38
110600,275.38
110700,275.38
110800,275.38
110900,275.38
111000,275.38
111100,275.38
111200,275.38
111300,275.38
111400,275.38
111500,275.38
111600,275.38
111700,275.38
111800,275.38
111900,275.38
112000,275.38
112100,275.38
112200,275.38
112300,275.38
112400,275.38
112500,275.38
112600,275.38
112700,275.38
112800,275.38
112900,275.38
113000,275.38
113100,275.38
113200,275.38
113300,275.38
113400,275.38
113500,275.38
113600,275.38
113700,275.38
113800,275.38
113900,275.38
114000,275.38
114100,275.38
114200,275.38
114300,275.38
114400,275.38
114500,275.38
114600,275.38
114700,275.38
114800,275.38
114900,275.38
115000,275.38
115100,275.38
115200,275.38
115300,275.38
115400,275.38
115500,275.38
115600,275.38
115700,275.38
115800,275.38
115900,275.38
116000,275.38
116100,275.38
116200,275.38
116300,275.38
116400,275.38
116500,275.38
116600,275.38
116700,275.38
116800,275.38
116900,275.38
117000,275.38
117100,275.38
117200,275.38
117300,275.38
117400,275.38
117500,275.38
117600,275.38
117700,275.38
117800,275.38
117900,275.38
118000,275.38
118100,275.38
118200,275.38
118300,275.38
118400,275.38
118500,275.38
118600,275.38
118700,275.38
118800,275.38
118900,275.38
119000,275.38
119100,275.38
119200,275.38
119300,275.38
119400,275.38
119500,275.38
119600,275.38
119700,275.38
119800,275.38
119900,275.38
120000,275.38
120100,275.38
120200,275.38
120300,275.38
120400,275.38
120500,275.38
120600,275.38
120700,275.38
120800,275.38
120900,275.38
121000,275.38
121100,275.38
121200,275.38
121300,275.38
121400,275.38
121500,275.38
121600,275.38
121700,275.38
121800,275.38
121900,275.38
122000,275.38
122100,275.38
122200,275.38
122300,275.38
122400,275.38
122500,275.38
122600,275.38
122700,275.38
122800,275.38
122900,275.38
123000,275.38
123100,275.38
123200,275.38
123300,275.38
123400,275.38
123500,275.38
123600,275.38
123700,275.38
123800,275.38
123900,275.38
124000,275.38
124100,275.38
124200,275.38
124300,275.38
124400,275.38
124500,275.38
124600,275.38
124700,275.38
124800,275.38
124900,275.38
125000,275.38
125100,275.38
125200,275.38
125300,275.38
125400,275.38
125500,275.38
125600,275.38
125700,275.38
125800,275.38
125900,275.38
126000,275.38
126100,275.38
126200,275.38
126300,275.38
126400,275.38
126500,275.38
126600,275.38
126700,275.38
126800,275.38
126900,275.38
127000,275.38
127100,275.38
127200,275.38
127300,275.38
127400,275.38
127500,275.38
127600,275.38
127700,275.38
127800,275.38
127900,275.38
128000,275.38
128100,275.38
128200,275.38
128300,275.38
128400,275.38
128500,275.38
128600,275.38
128700,275.38
128800,275.38
128900,275.38
129000,275.38
129100,275.38
129200,275.38
129300,275.38
129400,275.38
129500,275.38
129600,275.38
129700,275.38
129800,275.38
129900,275.38
130000,275.38
130100,275.38
130200,275.38
130300,275.38
130400,275.38
130500,275.38
130600,275.38
130700,275.38
130800,275.38
130900,275.38
131000,275.38
131100,275.38
131200,275.38
131300,275.38
131400,275.38
131500,275.38
131600,275.38
131700,275.38
131800,275.38
131900,275.38
132000,275.38
132100,275.38
132200,275.38
132300,275.38
132400,275.38
132500,275.38
132600,275.38
132700,275.38
132800,275.38
132900,275.38
133000,275.38
133100,275.38
133200,275.38
133300,275.38
133400,275.38
133500,275.38
133600,275.38
133700,275.38
133800,275.38
133900,275.38
134000,275.38
134100,275.38
134200,275.38
134300,275.38
134400,275.38
134500,275.38
134600,275.38
134700,275.38
134800,275.38
134900,275.38
135000,275.38
135100,275.38
135200,275.38
135300,275.38
135400,275.38
135500,275.38
135600,275.38
135700,275.38
135800,275.38
135900,275.38
136000,275.38
136100,275.38
136200,275.38
136300,275.38
136400,275.38
136500,275.38
136600,275.38
136700,275.38
136800,275.38
136900,275.38
137000,275.38
137100,275.38
137200,275.38
137300,275.38
137400,275.38
137500,275.38
137600,275.38
137700,275.38
137800,275.38
137900,275.38
138000,275.38
138100,275.38
138200,275.38
138300,275.38
138400,275.38
138500,275.38
138600,275.38
138700,275.38
138800,275.38
138900,275.38
139000,275.38
139100,275.38
139200,275.38
139300,275.38
139400,275.38
139500,275.38
139600,275.38
139700,275.38
139800,275.38
139900,275.38
140000,275.38
140100,275.38
140200,275.38
140300,275.38
140400,275.38
140500,275.38
140600,275.38
140700,275.38
140800,275.38
140900,275.38
141000,275.38
141100,275.38
141200,275.38
141300,275.38
141400,275.38
141500,275.38
141600,275.38
141700,275.38
141800,275.38
141900,275.38
142000,275.38
142100,275.38
142200,275.38
142300,275.38
142400,38.89
142500,38.89
142600,38.89
142700,38.89
142800,38.89
142900,38.89
143000,38.89
143100,38.89
143200,38.89
143300,38.89
143400,38.89
143500,38.89
143600,38.89
143700,38.89
143800,38.89
143900,38.89
144000,38.89
144100,38.89
144200,38.89
144300,38.89
144400,38.89
144500,38.89
144600,38.89
144700,38.89
144800,38.89
144900,38.89
145000,38.89
145100,38.89
